Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
-52728,2144,2152,16.425325,16.83,-21337.703399999868,-0.0246372598411293,2022-02-15 09:30:00,2022-02-16 09:30:00,1 days 00:00:00
47979,2207,2233,17.60637,17.41,-9421.636229999911,-0.011153349611532581,2022-02-24 14:30:00,2022-03-02 10:00:00,5 days 19:30:00
47907,2233,2236,17.436115,17.46,1144.2586949999968,0.0013698579069936212,2022-03-02 10:00:00,2022-03-02 13:00:00,0 days 03:00:00
47836,2236,2240,17.48619,17.3,-8906.584839999992,-0.010647831231388905,2022-03-02 13:00:00,2022-03-03 09:30:00,0 days 20:30:00
-56651,2322,2336,14.608055000000002,14.76,-8607.836194999874,-0.010401453170870267,2022-03-17 10:30:00,2022-03-21 09:30:00,3 days 23:00:00
-54972,2354,2393,14.89762,14.44,25156.28664000002,0.030717658256822267,2022-03-23 10:30:00,2022-03-30 10:00:00,6 days 23:30:00
-58544,2393,2489,14.41834,12.26,126357.85696000005,0.14969407019115932,2022-03-30 10:00:00,2022-04-19 10:00:00,20 days 00:00:00
-79276,2489,2496,12.24161,12.46,-17313.085640000096,-0.01783997366359502,2022-04-19 10:00:00,2022-04-20 09:30:00,0 days 23:30:00
-77420,2496,2497,12.311505,12.29,1664.9171000000943,0.0017467401426553009,2022-04-20 09:30:00,2022-04-20 10:00:00,0 days 00:30:00
-77807,2497,2545,12.271564999999999,10.88,108273.49795499985,0.1133975169426229,2022-04-20 10:00:00,2022-04-28 10:00:00,8 days 00:00:00
-97857,2545,2560,10.863680000000002,11.41,-53461.236239999795,-0.0502886682965622,2022-04-28 10:00:00,2022-05-05 09:30:00,6 days 23:30:00
-84899,2562,2576,11.892135000000001,12.09,-16798.540634999863,-0.01663830758732554,2022-05-05 10:30:00,2022-05-09 09:30:00,3 days 23:00:00
78866,2624,2652,12.588855,13.54,75013.00156999989,0.0755545281918013,2022-05-17 09:30:00,2022-05-20 13:00:00,3 days 03:30:00
82019,2672,2680,13.0195,12.8,-18003.170500000004,-0.016859326395022856,2022-05-25 09:30:00,2022-05-26 09:30:00,1 days 00:00:00
81010,2681,2705,12.95941,12.69,-21824.904100000047,-0.020788755043632423,2022-05-26 10:00:00,2022-05-31 10:00:00,5 days 00:00:00
80889,2705,2721,12.709035,13.52,65598.14788499995,0.06381011618899457,2022-05-31 10:00:00,2022-06-02 10:00:00,2 days 00:00:00
80292,2754,2757,13.6204,13.41,-16893.436799999992,-0.015447417109629713,2022-06-09 10:30:00,2022-06-09 13:30:00,0 days 03:00:00
73840,2834,2845,14.581840000000001,15.4,60412.93439999992,0.05610814547409637,2022-06-23 10:30:00,2022-06-24 13:30:00,1 days 03:00:00
69445,3013,3016,16.374525000000002,16.3,-5175.38862500009,-0.004551277059945291,2022-07-25 13:30:00,2022-07-26 09:30:00,0 days 20:00:00
68625,3017,3042,16.494705,16.85,24382.119375000115,0.021539942666449763,2022-07-26 10:00:00,2022-07-29 10:30:00,3 days 00:30:00
68523,3042,3044,16.875275000000002,16.79,-5843.298825000197,-0.005053250984058177,2022-07-29 10:30:00,2022-07-29 13:00:00,0 days 02:30:00
68789,3048,3056,16.72505,16.55,-12041.514449999919,-0.01046633642350836,2022-08-01 09:30:00,2022-08-02 09:30:00,1 days 00:00:00
72129,3060,3076,15.78364,15.49,-21179.959559999992,-0.018604073585053893,2022-08-02 13:00:00,2022-08-04 13:00:00,2 days 00:00:00
-70286,3092,3096,15.896120000000002,16.18,-19952.789679999867,-0.017858445960397873,2022-08-08 13:00:00,2022-08-09 09:30:00,0 days 20:30:00
-69643,3121,3160,15.75633,16.05,-20452.05981000004,-0.018638223494938266,2022-08-12 10:00:00,2022-08-19 09:30:00,6 days 23:30:00
-66328,3164,3173,16.23561,16.49,-16873.179919999817,-0.01566864441804139,2022-08-19 13:00:00,2022-08-22 13:30:00,3 days 00:30:00
65944,3194,3197,16.074075,15.73,-22689.68180000001,-0.02140558632456302,2022-08-25 10:30:00,2022-08-25 13:30:00,0 days 03:00:00
-82124,3249,3256,12.631025000000001,12.63,84.17710000002265,8.114939207226612e-05,2022-09-05 10:00:00,2022-09-06 09:30:00,0 days 23:30:00
-82261,3256,3259,12.611055000000002,12.78,-13897.584644999773,-0.013396579429714395,2022-09-06 09:30:00,2022-09-06 11:00:00,0 days 01:30:00
-79398,3260,3264,12.890635000000001,13.03,-11065.302269999838,-0.01081133706756865,2022-09-06 13:00:00,2022-09-07 09:30:00,0 days 20:30:00
-84566,3330,3342,11.972015,12.11,-11668.839509999889,-0.011525628726659631,2022-09-20 10:30:00,2022-09-21 14:00:00,1 days 03:30:00
-82832,3345,3406,12.081850000000001,10.85,102036.59920000011,0.10195872320878019,2022-09-22 10:00:00,2022-10-10 14:00:00,18 days 04:00:00
